R_m,f0_Hz,f0_times_R_Hz_m,normalized_response
0.03,407643.0574053182,12229.291722159545,0.9756434000480457
0.03,410354.05533601367,12310.62166008041,0.9753073966607719
0.03,413083.08254415356,12392.492476324605,0.9749671854315947
0.03,415830.25893202226,12474.907767960667,0.9746227174041864
0.03,418595.7051993051,12557.871155979152,0.9742739431534352
0.03,421379.54284839076,12641.386285451723,0.9739208127837958
0.03,424181.8941897103,12725.45682569131,0.9735632759277305
0.03,427002.8823471105,12810.086470413315,0.9732012817442408
0.03,429842.6312632634,12895.278937897901,0.9728347789174927
0.03,432701.26570511225,12981.037971153368,0.9724637156555453
0.03,435578.91126935283,13067.367338080585,0.9720880396891783
0.03,438475.6943879518,13154.270831638554,0.9717076982708291
0.03,441391.74233370175,13241.752270011051,0.9713226381736381
0.03,444327.1832258128,13329.815496774383,0.9709328056906139
0.03,447282.1460355418,13418.464381066253,0.9705381466339142
0.03,450256.76059185865,13507.702817755759,0.9701386063342509
0.03,453251.1575871508,13597.534727614524,0.9697341296404252
0.03,456265.4685829648,13687.964057488944,0.9693246609189942
0.03,459299.8260157871,13778.994780473611,0.9689101440540784
0.03,462354.3632028623,13870.63089608587,0.9684905224473057
0.03,465429.21434805106,13962.87643044153,0.9680657390179098
0.03,468524.514547726,14055.73543643178,0.9676357362029765
0.03,471640.3997967076,14149.211993901228,0.9672004559578476
0.03,474777.0069942391,14243.310209827172,0.9667598397566931
0.03,477934.47395000135,14338.03421850004,0.9663138285932449
0.03,481112.93939016754,14433.388181705026,0.965862362981708
0.03,484312.5429634984,14529.37628890495,0.9654053829578519
0.03,487533.4252474776,14626.002757424327,0.9649428280802859
0.03,490775.72775448835,14723.27183263465,0.9644746374319253
0.03,494039.5929380307,14821.187788140922,0.9640007496216575
0.03,497325.16419898055,14919.754925969415,0.9635211027862068
0.03,500632.5858918899,15018.977576756695,0.9630356345922153
0.03,503962.0033313292,15118.860099939875,0.9625442822385329
0.03,507313.5627982722,15219.406883948164,0.9620469824587371
0.03,510687.4115465225,15320.622346395676,0.9615436715238768
0.03,514083.6978091836,15422.510934275508,0.9610342852454538
0.03,517502.5708051715,15525.077124155145,0.960518758978649
0.03,520944.18074577075,15628.325422373122,0.9599970276257969
0.03,524408.6788412342,15732.260365237025,0.9594690256401204
0.03,527896.2173074266,15836.886519222799,0.9589346870297258
0.03,531406.9493725123,15942.208481175368,0.9583939453618748
0.03,534941.0292836872,16048.230878510616,0.9578467337675353
0.03,538498.6123139564,16154.958369418691,0.9572929849462164
0.03,542079.8547689554,16262.395643068661,0.9567326311711065
0.03,545684.9139938183,16370.54741981455,0.9561656042945086
0.03,549313.9483800904,16479.41845140271,0.9555918357535903
0.03,552967.1173726874,16589.013521180623,0.9550112565764554
0.03,556644.5814769012,16699.337444307035,0.954423797388542
0.03,560346.502265451,16810.39506796353,0.9538293884193606
0.03,564073.0423855827,16922.19127156748,0.9532279595095776
0.03,567824.3655662151,17034.73096698645,0.9526194401184541
0.03,571600.6366251329,17148.019098753986,0.9520037593316495
0.03,575402.0214762287,17262.06064428686,0.9513808458693984
0.03,579228.6871367922,17376.860614103767,0.9507506280950719
0.03,583080.8017348485,17492.424052045455,0.9501130340241313
0.03,586958.5345165447,17608.75603549634,0.9494679913334806
0.03,590862.055853586,17725.86167560758,0.9488154273712367
0.03,594791.5372507211,17843.746117521634,0.9481552691669184
0.03,598747.1513532781,17962.41454059834,0.9474874434420684
0.03,602729.0719547484,18081.87215864245,0.9468118766213148
0.03,606737.4740044235,18202.124220132704,0.9461284948438904
0.03,610772.5336150816,18323.176008452447,0.9454372239756115
0.03,614834.4280707248,18445.032842121745,0.9447379896213309
0.03,618923.3358343686,18567.700075031058,0.9440307171378749
0.03,623039.4365558823,18691.18309667647,0.9433153316474777
0.03,627182.911079883,18815.48733239649,0.9425917580517187
0.03,631353.9414536803,18940.618243610406,0.9418599210459802
0.03,635552.7109352748,19066.581328058244,0.9411197451344298
0.03,639779.4040014106,19193.382120042315,0.9403711546455473
0.03,644034.2063556792,19321.026190670374,0.9396140737481965
0.03,648317.3049366795,19449.519148100386,0.9388484264682643
0.03,652628.8879262307,19578.86663778692,0.9380741367058724
0.03,656969.1447576402,19709.074342729204,0.9372911282531724
0.03,661338.2661240268,19840.147983720806,0.9364993248127417
0.03,665736.4439866988,19972.09331960096,0.9356986500165851
0.03,670163.8715835878,20104.916147507636,0.934889027445758
0.03,674620.7434377392,20238.622303132175,0.9340703806506251
0.03,679107.2553658584,20373.21766097575,0.9332426331717588
0.03,683623.6044869145,20508.708134607434,0.9324057085614972
0.03,688169.9892308005,20645.099676924016,0.931559530406171
0.03,692746.609347052,20782.398280411562,0.9307040223490074
0.03,697353.6659136228,20920.609977408683,0.9298391081137293
0.03,701991.3613457199,21059.740840371596,0.9289647115288602
0.03,706659.8994046967,21199.7969821409,0.9280807565527386
0.03,711359.485207005,21340.78455621015,0.9271871672992692
0.03,716090.3252332079,21482.709756996235,0.9262838680644067
0.03,720852.6273370507,21625.57882011152,0.9253707833533967
0.03,725646.600754594,21769.39802263782,0.9244478379087773
0.03,730472.4561134059,21914.173683402176,0.9235149567391541
0.03,735330.4054418167,22059.9121632545,0.9225720651487683
0.03,740220.6621782343,22206.619865347027,0.921619088767855
0.03,745143.4411805219,22354.303235415653,0.9206559535838151
0.03,750098.958735438,22502.968762063138,0.9196825859732084
0.03,755087.4325681388,22652.622977044164,0.9186989127345735
0.03,760109.0818517448,22803.272455552342,0.9177048611220938
0.03,765164.1272169698,22954.923816509094,0.9167003588801146
0.03,770252.7907618149,23107.583722854448,0.9156853342785224
0.03,775375.2960613262,23261.258881839785,0.9146597161489963
0.03,780531.8681774179,23415.956045322535,0.9136234339221433
0.03,785722.733668761,23571.68201006283,0.9125764176655229
0.03,790948.1206007368,23728.443618022102,0.9115185981225753
0.03,796208.2585554575,23886.247756663724,0.9104499067524555
0.03,801503.3786418528,24045.101359255583,0.9093702757707888
0.03,806833.7135058242,24205.011405174726,0.9082796381913462
0.03,812199.4973404666,24365.984920213996,0.9071779278686577
0.03,817600.9658963571,24528.028976890713,0.9060650795415633
0.03,823038.3564919138,24691.150694757413,0.9049410288777064
0.03,828511.9080238219,24855.357240714657,0.9038057125189848
0.03,834021.8609775302,25020.655829325908,0.9026590681279548
0.03,839568.4574378172,25187.053723134515,0.9015010344351956
0.03,845151.9410994267,25354.5582329828,0.9003315512876408
0.03,850772.5572777753,25523.176718333256,0.8991505596978788
0.03,856430.5529197303,25692.91658759191,0.8979580018944224
0.03,862126.1766144601,25863.785298433802,0.8967538213729489
0.03,867859.6786043548,26035.790358130645,0.8955379629485193
0.03,873631.3107960228,26208.93932388068,0.894310372808763
0.03,879441.3267713565,26383.239803140696,0.8930709985680393
0.03,885289.9817986754,26558.69945396026,0.8918197893225684
0.03,891177.5328439402,26735.325985318206,0.8905566957065278
0.03,897104.2385820439,26913.127157461317,0.8892816699491104
0.03,903070.359408176,27092.11078224528,0.8879946659325433
0.03,909076.1574492641,27272.284723477922,0.8866956392510565
0.03,915121.8965754897,27453.65689726469,0.8853845472707937
0.03,921207.8424118824,27636.23527235647,0.8840613491906575
0.03,927334.2623499898,27820.027870499693,0.8827260061040825
0.03,933501.4255596264,28005.042766788793,0.8813784810617132
0.03,939709.6030006987,28191.28809002096,0.8800187391349916
0.03,945959.0674351109,28378.772023053327,0.8786467474806183
0.03,952250.0934387485,28567.502803162453,0.8772624754058914
0.03,958582.9574135426,28757.488722406277,0.8758658944348866
0.03,964957.937599613,28948.73812798839,0.8744569783754743
0.03,971375.3140874937,29141.25942262481,0.873035703387144
0.03,977835.3688304388,29335.061064913163,0.8716020480496111
0.03,984338.38565681,29530.1515697043,0.8701559934321874
0.03,990884.6502825471,29726.539508476413,0.8686975231638825
0.03,997474.4503237212,29924.233509711634,0.8672266235042072
0.03,1004108.0753091713,30123.24225927514,0.8657432834146515
0.03,1010785.8166932253,30323.574500796756,0.8642474946307966
0.03,1017507.9678685048,30525.239036055144,0.8627392517350302
0.03,1024274.8241788159,30728.24472536448,0.861218552229826
0.03,1031086.6829321253,30932.60048796376,0.8596853966115399
0.03,1037943.843413623,31138.31530240869,0.8581397884446901
0.03,1044846.6068988715,31345.398206966143,0.8565817344366634
0.03,1051795.2766670422,31553.858300011263,0.8550112445128091
0.03,1058790.1580142411,31763.704740427234,0.8534283318918593
0.03,1065831.558266922,31974.946748007656,0.8518330131616287
0.03,1072919.7867953882,32187.593603861646,0.8502253083549279
0.03,1080055.1550273863,32401.654650821587,0.8486052410256416
0.03,1087237.9764617886,32617.13929385366,0.8469728383248919
0.03,1094468.566682367,32834.057000471,0.8453281310772343
0.03,1101747.243371657,33052.41730114971,0.8436711538568067
0.03,1109074.326324919,33272.229789747566,0.8420019450633602
0.03,1116450.1374641843,33493.50412392553,0.8403205469980981
0.03,1123875.0008524002,33716.25002557201,0.8386270059392325
0.03,1131349.2427076756,33940.47728123027,0.8369213722171849
0.03,1138873.1914176,34166.195742528,0.8352037002893373
0.03,1146447.1775536814,34393.41532661044,0.8334740488142414
0.03,1154071.5338858669,34622.14601657601,0.8317324807251869
0.03,1161746.5953971643,34852.39786191493,0.829979063303041
0.03,1169472.6992983592,35084.180978950775,0.8282138682482395
0.03,1177250.1850428309,35317.50555128493,0.8264369717518324
0.03,1185079.3943414665,35552.38183024399,0.8246484545654662
0.03,1192960.6711776746,35788.820135330236,0.8228484020701916
0.03,1200894.3618224978,36026.83085467493,0.8210369043439714
0.03,1208880.8148498277,36266.42444549483,0.819214056227762
0.03,1216920.381151718,36507.61143455154,0.817379957390048
0.03,1225013.413953803,36750.40241861409,0.8155347123896861
0.03,1233160.2688308158,36994.80806492447,0.8136784307369241
0.03,1241361.3037222116,37240.83911166635,0.8118112269524563
0.03,1249616.878947893,37488.506368436785,0.8099332206243562
0.03,1257927.357224042,37737.82071672126,0.8080445364627513
0.03,1266293.103679056,37988.79311037168,0.8061453043520673
0.03,1274714.4858695897,38241.43457608769,0.8042356594006916
0.03,1283191.8737967047,38495.75621390114,0.802315741987886
0.03,1291725.6399221246,38751.769197663736,0.8003856978077774
0.03,1300316.159184601,39009.484775538025,0.798445677910257
0.03,1308963.8090163858,39268.91427049157,0.796495838738602
0.03,1317668.9693598142,39530.06908079443,0.7945363421636435
0.03,1326432.0226839979,39792.96068051994,0.7925673555142843
0.03,1335253.3540016294,40057.60062004888,0.7905890516041812
0.03,1344133.3508858972,40324.000526576914,0.7886016087543951
0.03,1353072.403487515,40592.172104625446,0.7866052108117993
0.03,1362070.904551863,40862.127136555886,0.7846000471630549
0.03,1371129.2494362432,41133.87748308729,0.7825863127439345
0.03,1380247.8361272507,41407.435083817516,0.7805642080437829
0.03,1389427.0652582583,41682.81195774775,0.7785339391049039
0.03,1398667.3401270197,41960.020203810585,0.7764957175166513
0.03,1407969.0667133883,42239.07200140165,0.774449760403997
0.03,1417332.653697155,42519.97961091465,0.7723962904103603
0.03,1426758.5124760023,42802.75537428007,0.7703355356744561
0.03,1436247.0571835816,43087.41171550745,0.7682677298009492
0.03,1445798.7047077063,43373.961141231186,0.7661931118246668
0.03,1455413.8747086702,43662.41624126011,0.7641119261681355
0.03,1465092.989637684,43952.78968913052,0.7620244225922216
0.03,1474836.4747554376,44245.09424266312,0.7599308561396132
0.03,1484644.7581507824,44539.34274452347,0.7578314870709272
0.03,1494518.2707595418,44835.548122786255,0.7557265807931902
0.03,1504457.4463834437,45133.72339150331,0.7536164077804575
0.03,1514462.7217091792,45433.88165127538,0.7515012434863346
0.03,1524534.5363275914,45736.03608982774,0.7493813682481594
0.03,1534673.3327529856,46040.19998258957,0.747257067182615
0.03,1544879.5564425753,46346.38669327726,0.7451286300725335
0.03,1555153.6558160507,46654.60967448152,0.7429963512446697
0.03,1565496.0822752824,46964.88246825847,0.7408605294382029
0.03,1575907.2902241528,47277.21870672458,0.7387214676637601
0.03,1586387.7370885224,47591.63211265567,0.7365794730527323
0.03,1596937.8833363254,47908.136500089764,0.7344348566966716
0.03,1607558.192497802,48226.745774934054,0.7322879334765671
0.03,1618249.1311858634,48547.4739355759,0.7301390218817975
0.03,1629011.169116593,48870.33507349779,0.7279884438185706
0.03,1639844.7791298842,49195.343373896525,0.7258365244076653
0.03,1650750.4372102146,49522.513116306436,0.723683591771306
0.03,1661728.622507559,49851.858675226766,0.7215299768090081
0.03,1672779.817358441,50183.39452075322,0.7193760129622441
0.03,1683904.5073071253,50517.13521921376,0.7172220359677914
0.03,1695103.1811269503,50853.09543380851,0.7150683835996464
0.03,1706376.3308418032,51191.289925254096,0.7129153953993874
0.03,1717724.4517477364,51531.73355243209,0.7107634123949049
0.03,1729148.0424347306,51874.44127304191,0.7086127768074187
0.03,1740647.6048085985,52219.42814425795,0.7064638317467354
0.03,1752223.6441130387,52566.70932339116,0.704316920894701
0.03,1763876.6689518327,52916.30006855498,0.7021723881768428
0.03,1775607.1913111915,53268.21573933574,0.7000305774222152
0.03,1787415.7265822496,53622.471797467486,0.6978918320114713
0.03,1799302.7935837097,53979.08380751129,0.6957564945132294
0.03,1811268.9145846372,54338.06743753911,0.6936249063088205
